1.512 1.305 -1.818 -4.387 -5.146
2.912 3.520 -5.078 -4.684 -4.952
3.325 2.188 -13.328 -6.841 -4.479
1.508 -2.590 -22.589 -11.288 -6.420
-1.404 -7.255 -26.865 -15.657 -10.396
-2.664 -7.979 -23.051 -16.424 -13.192
-0.642 -4.277 -13.894 -12.430 -12.524
3.408 0.642 -5.916 -6.507 -9.952
6.299 2.980 -4.008 -3.167 -9.417
5.645 1.707 -7.670 -4.538 -12.826
1.786 -1.162 -12.325 -8.802 -17.733
-2.731 -3.157 -14.141 -12.591 -20.010
-5.284 -3.725 -13.400 -14.606 -18.600
-4.878 -4.034 -13.334 -16.369 -16.829
-2.293 -4.926 -16.063 -19.468 -18.486
0.779 -5.827 -20.172 -22.859 -23.089
2.739 -5.775 -22.409 -23.680 -26.081
2.739 -4.993 -21.215 -20.706 -23.993
1.108 -4.779 -18.189 -16.366 -18.688
-0.690 -5.764 -16.110 -14.716 -15.631
-0.897 -6.761 -15.941 -17.238 -17.809
1.165 -5.802 -16.061 -21.050 -22.151
4.325 -2.394 -14.261 -21.493 -22.623
6.297 1.652 -10.071 -16.531 -16.586
5.516 3.855 -5.113 -8.506 -7.492
2.438 3.484 -1.428 -1.735 -1.030
-0.875 2.136 0.299 1.390 0.689
-2.455 1.937 0.971 1.868 0.531
-1.837 3.329 1.894 2.169 2.230
-0.156 4.804 3.455 3.369 5.905
0.930 4.726 4.808 4.459 8.348
0.420 3.203 4.744 4.155 7.304
-1.464 2.095 3.093 2.925 4.367
-3.448 3.263 1.406 2.860 3.119
-3.857 6.911 2.130 5.569 4.860
-1.546 11.489 6.428 10.273 7.018
3.210 14.965 12.411 13.993 5.854
8.622 16.283 15.951 13.857 0.442
12.348 15.721 13.934 9.351 -6.503
13.037 14.315 7.335 2.691 -11.436
11.170 12.994 0.800 -2.939 -13.144
8.537 12.176 -1.282 -5.589 -12.926
6.675 11.814 1.307 -5.461 -12.350
5.864 11.665 4.723 -4.050 -11.456
5.442 11.441 4.938 -2.666 -9.374
4.944 10.895 1.594 -1.673 -6.207
4.703 9.890 -2.144 -0.917 -3.659
5.373 8.555 -3.166 -0.429 -3.480
6.990 7.390 -1.380 -0.446 -5.439
8.650 7.033 0.765 -0.878 -7.211
9.156 7.831 1.250 -1.031 -6.478
7.966 9.428 0.396 -0.183 -3.307
5.530 10.872 0.032 1.604 -0.208
2.846 11.284 1.363 3.451 0.209
0.727 10.482 3.976 4.516 -2.187
-0.603 9.004 6.619 4.833 -4.846
-1.372 7.438 8.288 5.134 -5.029
-1.881 5.842 8.481 5.835 -2.489
-2.228 3.870 7.076 6.366 0.281
-2.343 1.429 4.455 5.647 0.483
-2.185 -0.936 1.699 3.167 -2.405
-1.858 -2.492 -0.112 -0.577 -6.539
-1.566 -3.136 -1.092 -4.734 -10.000
-1.421 -3.560 -2.692 -8.911 -12.768
-1.320 -4.493 -6.053 -13.190 -16.274
-1.055 -5.836 -10.227 -17.422 -21.204
-0.574 -6.703 -12.619 -20.828 -26.284
-0.101 -6.395 -11.669 -22.506 -29.400
0.047 -5.213 -8.948 -22.316 -29.729
-0.175 -4.204 -7.867 -20.976 -28.330
-0.404 -4.080 -10.039 -19.195 -26.635
-0.139 -4.523 -13.204 -16.946 -24.835
0.794 -4.643 -13.299 -13.845 -22.131
1.995 -4.019 -8.786 -10.282 -18.426
2.664 -3.171 -2.647 -7.840 -15.288
2.112 -2.965 0.184 -8.173 -14.775
0.242 -3.634 -2.511 -11.239 -17.287
-2.256 -4.500 -8.213 -14.804 -20.760
-4.170 -4.583 -12.086 -15.962 -22.158
-4.360 -3.445 -11.252 -13.419 -19.771
-2.419 -1.427 -6.797 -8.452 -14.338
0.960 0.793 -2.070 -3.664 -8.335
4.266 2.740 0.576 -0.835 -4.297
6.129 4.329 1.415 0.155 -3.534
6.251 5.679 2.300 0.508 -5.732
5.520 6.802 4.321 0.866 -9.424
5.123 7.403 6.425 0.519 -13.005
5.511 6.980 6.157 -1.757 -15.708
6.124 5.159 1.736 -6.310 -17.932
6.138 2.126 -6.132 -11.980 -20.521
5.421 -1.199 -14.202 -16.829 -23.657
4.648 -3.590 -18.644 -19.437 -26.470
4.484 -4.372 -17.753 -19.664 -27.863
